baseline,final_return_mean,final_return_std,final_return_ci_low,final_return_ci_high,auc_mean,auc_std,auc_ci_low,auc_ci_high,first_success_episode_mean,first_success_episode_std,first_success_episode_ci_low,first_success_episode_ci_high,coverage_mean,coverage_std,coverage_ci_low,coverage_ci_high,bound_residual_mean,bound_residual_std,bound_residual_ci_low,bound_residual_ci_high,reward_channel_dominance_mean,reward_channel_dominance_std,reward_channel_dominance_ci_low,reward_channel_dominance_ci_high
CCGO_adaptive,0.7417446875401543,0.015550492841522042,0.7356805445275625,0.7474512146510824,0.6859289524525569,0.02093861001592292,0.6784296451224725,0.694941628567384,163.57364521911413,6.416741106181299,160.99485417958292,166.02692759875146,0.6427986132968643,0.025991072950856932,0.632349277507213,0.6532825546396119,0.029157179997799154,0.010257734099307957,0.025361647677248363,0.03323085082178859,0.24367985866182948,0.023142204798234093,0.2337134963992551,0.2519040630841269
HER_SAC,0.6258394020481276,0.01785715158517784,0.6184514024177732,0.6327387790158717,0.5751350245909156,0.020635849733618112,0.5675826008777123,0.5843956198780031,172.9800343381245,6.327267219911522,170.62348882621788,175.46143314205796,0.5825971575843183,0.03337344673469084,0.5688907721887797,0.5956290616421255,0.02940280492860518,0.006603267745429182,0.026795097376693534,0.032000787929962526,0.2817167071994586,0.038122178610104994,0.2677234329952553,0.2976724496895508
ACWI_style,0.6016938838300105,0.019561816459810196,0.5937969093807555,0.6084918389706777,0.5610090430906943,0.019393958373398714,0.5534232164082467,0.5686337555946128,174.23598426347186,4.4746667292668345,172.39485448579276,175.9005332681776,0.5694801117567886,0.025118796677403427,0.5592361721120083,0.5802016762845958,0.03214513407180673,0.009886438643916135,0.0283818347114214,0.03587719928500054,0.2954604500099535,0.028493171827783177,0.28515709756665464,0.3064691034329339
Contrastive_always_on,0.5851657241415652,0.01793763087986514,0.5782257680659767,0.5922186787058181,0.5556364070124694,0.015056069314548007,0.549761418046751,0.5617260740991225,175.8058474273615,6.232508336471173,173.4627705378226,178.17785414813738,0.5623701461702799,0.029295956985756575,0.5508243829409646,0.5754091924573549,0.033891830539841405,0.01302900979152001,0.0286733200226524,0.03901094556473768,0.2878518836517971,0.025044317552343234,0.2787325914047416,0.2977715286763207
ICM_fixed_beta,0.5667583004478337,0.022722354397994023,0.5579705856815382,0.5748406065530022,0.5297684564350914,0.02133266104663693,0.5219857398428424,0.5383617671260351,175.49516947747898,5.110352067439978,173.61930274757782,177.48080462197296,0.5363200666425348,0.03953773675016229,0.5222742655076625,0.5520270979594917,0.03280008166237122,0.010297116860062962,0.028700692182536923,0.03672577048276447,0.2928445593803146,0.026586911133009532,0.2826794726773757,0.30362645039459624
RND_fixed_beta,0.5622840994594757,0.020890814447747014,0.5550450988284664,0.5701096449874118,0.5404668401880918,0.016968314843728603,0.5334016306473397,0.5468688305087144,175.7170321498464,5.599009862278977,173.46044052210965,177.948846127162,0.5618019262973121,0.023905355716296862,0.5524467575780903,0.5710133243170963,0.03807438366611691,0.012405568137559789,0.033237036578365776,0.042835411843735544,0.2839019073399229,0.038452163061240385,0.26902548369107315,0.2983350465639801
