baseline,td_target_variance,gate_sensitivity_slope
ACDC_style,0.12651772994264646,0.9734262999651144
ACWI_style,0.11905096756645007,0.9814063531490271
CCGO_adaptive,0.09043997407363857,0.9967184753101286
CRL_style,0.12418570195164935,0.9737416388323573
Contrastive_always_on,0.12995074689605543,0.9576348000826544
HER_SAC,0.11762255699738726,0.9644682715267123
ICM_fixed_beta,0.13415000317552037,0.9956925154625859
RND_fixed_beta,0.13404653297887376,0.9825343996277681
ViSA_style,0.1238547433780075,0.9782995542388572
